session_id	original_session_id
ses-photometry+00375da5+5ab9+4816+bad4+f76f97d90620	ses-photometry-00375da5-5ab9-4816-bad4-f76f97d90620
ses-photometry+0938aec8+fa51+4960+aa12+f782d8461263	ses-photometry-0938aec8-fa51-4960-aa12-f782d8461263
ses-photometry+16d92930+0eff+48d9+8488+9fa6b4304c53	ses-photometry-16d92930-0eff-48d9-8488-9fa6b4304c53
ses-photometry+1a93ada3+f6b2+4856+95c7+dcfb2b5d1e17	ses-photometry-1a93ada3-f6b2-4856-95c7-dcfb2b5d1e17
ses-photometry+1bda9317+4c19+40db+8eab+563c38acaab0	ses-photometry-1bda9317-4c19-40db-8eab-563c38acaab0
ses-photometry+1ca207bc+6fe1+479d+942f+05f9387a452a	ses-photometry-1ca207bc-6fe1-479d-942f-05f9387a452a
ses-photometry+2f95effc+4707+419b+a202+bb851a071c65	ses-photometry-2f95effc-4707-419b-a202-bb851a071c65
ses-photometry+366303f3+b1d8+4152+9876+90005008b56f	ses-photometry-366303f3-b1d8-4152-9876-90005008b56f
ses-photometry+38a85f81+4c92+4520+890d+7e2b7aa28f89	ses-photometry-38a85f81-4c92-4520-890d-7e2b7aa28f89
ses-photometry+40c5ebf2+7a5f+4052+ac03+3103609aa7a0	ses-photometry-40c5ebf2-7a5f-4052-ac03-3103609aa7a0
ses-photometry+434da758+18a3+46c5+b8d6+5976569cc145	ses-photometry-434da758-18a3-46c5-b8d6-5976569cc145
ses-photometry+4430bb4f+316b+43bf+81d5+4aa8f2244375	ses-photometry-4430bb4f-316b-43bf-81d5-4aa8f2244375
ses-photometry+52350fe0+1ecc+4f73+bc98+c1de19f5f296	ses-photometry-52350fe0-1ecc-4f73-bc98-c1de19f5f296
ses-photometry+5e7bd2b3+94a9+4a21+af5e+2c37219a3037	ses-photometry-5e7bd2b3-94a9-4a21-af5e-2c37219a3037
ses-photometry+656be066+a9f9+4c56+9a92+5d22862214f8	ses-photometry-656be066-a9f9-4c56-9a92-5d22862214f8
ses-photometry+67449c11+b747+451c+8015+ce6719466b36	ses-photometry-67449c11-b747-451c-8015-ce6719466b36
ses-photometry+6cbb84c8+ba82+41ba+b1a3+87cff774caf6	ses-photometry-6cbb84c8-ba82-41ba-b1a3-87cff774caf6
ses-photometry+70e0b9a9+e121+423f+8d3a+78e714fc7043	ses-photometry-70e0b9a9-e121-423f-8d3a-78e714fc7043
ses-photometry+8b9313c1+8c5b+42f2+9942+c85481e7ce21	ses-photometry-8b9313c1-8c5b-42f2-9942-c85481e7ce21
ses-photometry+a6fc260a+0026+4c5c+80b8+fa77fa84bd9d	ses-photometry-a6fc260a-0026-4c5c-80b8-fa77fa84bd9d
ses-photometry+a9782aff+0184+475d+bbf2+d8478e19dd85	ses-photometry-a9782aff-0184-475d-bbf2-d8478e19dd85
ses-photometry+b1b84f9f+d708+48b2+aa92+68392240127c	ses-photometry-b1b84f9f-d708-48b2-aa92-68392240127c
ses-photometry+be362b37+0d27+458d+9342+55418169ef67	ses-photometry-be362b37-0d27-458d-9342-55418169ef67
ses-photometry+c4482996+bdaa+4f9d+afbf+f4b1b8b3d521	ses-photometry-c4482996-bdaa-4f9d-afbf-f4b1b8b3d521
ses-photometry+c9c61670+2221+4c9f+925a+56f884f7b1b9	ses-photometry-c9c61670-2221-4c9f-925a-56f884f7b1b9
ses-photometry+cf703a70+2118+4702+991c+b860fcff8e61	ses-photometry-cf703a70-2118-4702-991c-b860fcff8e61
ses-photometry+dd4b8049+4bb2+4a32+840c+9203b07208c8	ses-photometry-dd4b8049-4bb2-4a32-840c-9203b07208c8
ses-photometry+f1130bfe+be93+4822+8536+a04f8a94309c	ses-photometry-f1130bfe-be93-4822-8536-a04f8a94309c
ses-photometry+feff1620+e777+4f91+9a1d+94c3c75b7ae9	ses-photometry-feff1620-e777-4f91-9a1d-94c3c75b7ae9
